year,age,mid_year_population,num_week
2016,0 to 14,364768.60374735895,15
2016,0 to 14,364843.74488930276,16
2016,0 to 14,364919.0319808171,17
2016,0 to 14,364994.4457277496,18
2016,0 to 14,365069.96683594823,19
2016,0 to 14,365145.5760112606,20
2016,0 to 14,365221.2539595346,21
2016,0 to 14,365296.9813866179,22
2016,0 to 14,365372.7389983583,23
2016,0 to 14,365448.5075006036,24
2016,0 to 14,365524.2675992016,25
2016,0 to 14,365600,26
2016,0 to 14,365675.6811320976,27
2016,0 to 14,365751.27031759726,28
2016,0 to 14,365826.7226018528,29
2016,0 to 14,365901.993030218,30
2016,0 to 14,365977.03664804675,31
2016,0 to 14,366051.80850069295,32
2016,0 to 14,366126.26363351033,33
2016,0 to 14,366200.3570918528,34
2016,0 to 14,366274.0439210742,35
2016,0 to 14,366347.27916652826,36
2016,0 to 14,366420.017873569,37
2016,0 to 14,366492.21508755005,38
2016,0 to 14,366563.82585382543,39
2016,0 to 14,366634.80521774886,40
2016,0 to 14,366705.10822467424,41
2016,0 to 14,366774.68991995545,42
2016,0 to 14,366843.5053489462,43
2016,0 to 14,366911.5095570004,44
2016,0 to 14,366978.6575894719,45
2016,0 to 14,367044.90449171455,46
2016,0 to 14,367110.2053090821,47
2016,0 to 14,367174.5150869285,48
2016,0 to 14,367237.78887060756,49
2016,0 to 14,367299.98170547304,50
2016,0 to 14,367361.0486368789,51
2016,0 to 14,367420.9447101788,52
2016,15 to 44,727448.9274924778,1
2016,15 to 44,727352.1582425658,2
2016,15 to 44,727253.9562202399,3
2016,15 to 44,727154.3649626649,4
2016,15 to 44,727053.428007006,5
2016,15 to 44,726951.188890428,6
2016,15 to 44,726847.6911500961,7
2016,15 to 44,726742.9783231753,8
2016,15 to 44,726637.0939468306,9
2016,15 to 44,726530.0815582268,10
2016,15 to 44,726421.9846945292,11
2016,15 to 44,726312.8468929027,12
2016,15 to 44,726202.7116905123,13
2016,15 to 44,726091.622624523,14
2016,15 to 44,725979.6232320997,15
2016,15 to 44,725866.7570504076,16
2016,15 to 44,725753.0676166117,17
2016,15 to 44,725638.5984678768,18
2016,15 to 44,725523.3931413682,19
2016,15 to 44,725407.4951742506,20
2016,15 to 44,725290.9481036892,21
2016,15 to 44,725173.795466849,22
2016,15 to 44,725056.080800895,23
2016,15 to 44,724937.8476429922,24
2016,15 to 44,724819.1395303054,25
2016,15 to 44,724700,26
2016,15 to 44,724580.477666144,27
2016,15 to 44,724460.6414504189,28
2016,15 to 44,724340.565351409,29
2016,15 to 44,724220.323367699,30
2016,15 to 44,724099.9894978737,31
2016,15 to 44,723979.6377405174,32
2016,15 to 44,723859.3420942147,33
2016,15 to 44,723739.1765575503,34
2016,15 to 44,723619.2151291086,35
2016,15 to 44,723499.5318074744,36
2016,15 to 44,723380.2005912322,37
2016,15 to 44,723261.2954789664,38
2016,15 to 44,723142.8904692617,39
2016,15 to 44,723025.0595607028,40
2016,15 to 44,722907.876751874,41
2016,15 to 44,722791.4160413601,42
2016,15 to 44,722675.7514277456,43
2016,15 to 44,722560.9569096151,44
2016,15 to 44,722447.1064855531,45
2016,15 to 44,722334.2741541442,46
2016,15 to 44,722222.533913973,47
2016,15 to 44,722111.9597636241,48
2016,15 to 44,722002.6257016821,49
2016,15 to 44,721894.6057267314,50
2016,15 to 44,721787.9738373568,51
2016,15 to 44,721682.8040321426,52
2016,45 to 64,471504.666639211,1
2016,45 to 64,471609.3648211988,2
2016,45 to 64,471713.5406579979,3
2016,45 to 64,471817.20918542024,4
2016,45 to 64,471920.385439278,5
2016,45 to 64,472023.0844553831,6
2016,45 to 64,472125.32126954774,7
2016,45 to 64,472227.11091758386,8
2016,45 to 64,472328.46843530354,9
2016,45 to 64,472429.4088585188,10
2016,45 to 64,472529.9472230418,11
2016,45 to 64,472630.09856468445,12
2016,45 to 64,472729.8779192589,13
2016,45 to 64,472829.3003225771,14
2016,45 to 64,472928.3808104512,15
2016,45 to 64,473027.13441869325,16
2016,45 to 64,473125.57618311525,17
2016,45 to 64,473223.72113952925,18
2016,45 to 64,473321.5843237474,19
2016,45 to 64,473419.18077158154,20
2016,45 to 64,473516.5255188439,21
2016,45 to 64,473613.6336013465,22
2016,45 to 64,473710.52005490137,23
2016,45 to 64,473807.1999153205,24
2016,45 to 64,473903.68821841606,25
2016,45 to 64,474000,26
2016,45 to 64,474096.15454234066,27
2016,45 to 64,474192.1881135313,28
2016,45 to 64,474288.1412281213,29
2016,45 to 64,474384.05440066016,30
2016,45 to 64,474479.9681456974,31
2016,45 to 64,474575.92297778244,32
2016,45 to 64,474671.95941146475,33
2016,45 to 64,474768.11796129384,34
2016,45 to 64,474864.43914181914,35
2016,45 to 64,474960.96346759016,36
2016,45 to 64,475057.73145315633,37
2016,45 to 64,475154.7836130671,38
2016,45 to 64,475252.160461872,39
2016,45 to 64,475349.90251412045,40
2016,45 to 64,475448.05028436193,41
2016,45 to 64,475546.64428714593,42
2016,45 to 64,475645.7250370219,43
2016,45 to 64,475745.33304853935,44
2016,45 to 64,475845.50883624767,45
2016,45 to 64,475946.2929146964,46
2016,45 to 64,476047.7257984349,47
2016,45 to 64,476149.8480020128,48
2016,45 to 64,476252.7000399795,49
2016,45 to 64,476356.32242688444,50
2016,45 to 64,476460.7556772771,51
2016,45 to 64,476566.04030570696,52
2016,65 to 74,164746.4782792168,1
2016,65 to 74,164809.39968175621,2
2016,65 to 74,164871.4957353366,3
2016,65 to 74,164932.7786535862,4
2016,65 to 74,164993.26065013334,5
2016,65 to 74,165052.95393860622,6
2016,65 to 74,165111.87073263314,7
2016,65 to 74,165170.02324584234,8
2016,65 to 74,165227.4236918621,9
2016,65 to 74,165284.08428432068,10
2016,65 to 74,165340.01723684632,11
2016,65 to 74,165395.23476306733,12
2016,65 to 74,165449.74907661194,13
2016,65 to 74,165503.57239110844,14
2016,65 to 74,165556.71692018505,15
2016,65 to 74,165609.19487747006,16
2016,65 to 74,165661.01847659174,17
2016,65 to 74,165712.19993117833,18
2016,65 to 74,165762.75145485814,19
2016,65 to 74,165812.68526125935,20
2016,65 to 74,165862.01356401033,21
2016,65 to 74,165910.74857673925,22
2016,65 to 74,165958.90251307443,23
2016,65 to 74,166006.4875866441,24
2016,65 to 74,166053.51601107654,25
2016,65 to 74,166100,26
2016,65 to 74,166145.9531333795,27
2016,65 to 74,166191.39445652676,28
2016,65 to 74,166236.34438109037,29
2016,65 to 74,166280.8233187188,30
2016,65 to 74,166324.8516810606,31
2016,65 to 74,166368.44987976423,32
2016,65 to 74,166411.63832647825,33
2016,65 to 74,166454.43743285118,34
2016,65 to 74,166496.8676105315,35
2016,65 to 74,166538.94927116774,36
2016,65 to 74,166580.7028264084,37
2016,65 to 74,166622.14868790202,38
2016,65 to 74,166663.3072672971,39
2016,65 to 74,166704.19897624216,40
2016,65 to 74,166744.84422638567,41
2016,65 to 74,166785.2634293762,42
2016,65 to 74,166825.47699686227,43
2016,65 to 74,166865.50534049235,44
2016,65 to 74,166905.36887191495,45
2016,65 to 74,166945.08800277865,46
2016,65 to 74,166984.68314473188,47
2016,65 to 74,167024.1747094232,48
2016,65 to 74,167063.58310850113,49
2016,65 to 74,167102.92875361416,50
2016,65 to 74,167142.23205641084,51
2016,65 to 74,167181.51342853962,52
2016,75 to 84,94432.8146579793,1
2016,75 to 84,94460.93943722553,2
2016,75 to 84,94489.24354050988,3
2016,75 to 84,94517.73143246252,4
2016,75 to 84,94546.40757771366,5
2016,75 to 84,94575.27644089347,6
2016,75 to 84,94604.34248663216,7
2016,75 to 84,94633.61017955988,8
