Country,WeekEnding,Deaths,Gender,Year
S,05/08/2013,903,All,2013
S,05/08/2014,982,All,2014
S,05/08/2015,985,All,2015
S,04/08/2016,987,All,2016
S,05/08/2017,1011,All,2017
S,05/08/2018,969,All,2018
S,05/08/2019,1020,All,2019
S,04/08/2020,1043,All,2020
S,05/08/2021,1073,All,2021
S,05/08/2022,1125,All,2022
S,12/08/2013,900,All,2013
S,12/08/2014,1016,All,2014
S,12/08/2015,1043,All,2015
S,11/08/2016,997,All,2016
S,12/08/2017,1002,All,2017
S,12/08/2018,953,All,2018
S,12/08/2019,1018,All,2019
S,11/08/2020,1011,All,2020
S,12/08/2021,1099,All,2021
S,12/08/2022,1138,All,2022
S,19/08/2013,923,All,2013
S,19/08/2014,1004,All,2014
S,19/08/2015,969,All,2015
S,18/08/2016,982,All,2016
S,19/08/2017,1004,All,2017
S,19/08/2018,978,All,2018
S,19/08/2019,1028,All,2019
S,18/08/2020,928,All,2020
S,19/08/2021,1171,All,2021
S,19/08/2022,1175,All,2022
S,26/08/2013,878,All,2013
S,26/08/2014,980,All,2014
S,26/08/2015,982,All,2015
S,25/08/2016,1017,All,2016
S,26/08/2017,1045,All,2017
S,26/08/2018,941,All,2018
S,26/08/2019,1011,All,2019
S,25/08/2020,1046,All,2020
S,26/08/2021,1129,All,2021
S,26/08/2022,1086,All,2022
S,02/09/2013,940,All,2013
S,02/09/2014,1013,All,2014
S,02/09/2015,954,All,2015
S,01/09/2016,1039,All,2016
S,02/09/2017,980,All,2017
S,02/09/2018,930,All,2018
S,02/09/2019,1013,All,2019
S,01/09/2020,1030,All,2020
S,02/09/2021,1180,All,2021
S,02/09/2022,1071,All,2022
S,09/09/2013,951,All,2013
S,09/09/2014,1026,All,2014
S,09/09/2015,977,All,2015
S,08/09/2016,1007,All,2016
S,09/09/2017,1006,All,2017
S,09/09/2018,970,All,2018
S,09/09/2019,980,All,2019
S,08/09/2020,1050,All,2020
S,09/09/2021,1130,All,2021
S,09/09/2022,1129,All,2022
S,16/09/2013,916,All,2013
S,16/09/2014,981,All,2014
S,16/09/2015,991,All,2015
S,15/09/2016,983,All,2016
S,16/09/2017,972,All,2017
S,16/09/2018,1020,All,2018
S,16/09/2019,1074,All,2019
S,15/09/2020,1069,All,2020
S,16/09/2021,1259,All,2021
S,16/09/2022,1135,All,2022
S,23/09/2013,971,All,2013
S,23/09/2014,934,All,2014
S,23/09/2015,1001,All,2015
S,22/09/2016,966,All,2016
S,23/09/2017,1049,All,2017
S,23/09/2018,946,All,2018
S,23/09/2019,1071,All,2019
S,22/09/2020,952,All,2020
S,23/09/2021,1228,All,2021
S,23/09/2022,1001,All,2022
S,30/09/2013,928,All,2013
S,30/09/2014,950,All,2014
S,30/09/2015,1010,All,2015
S,29/09/2016,1009,All,2016
S,30/09/2017,1056,All,2017
S,30/09/2018,1015,All,2018
S,30/09/2019,1142,All,2019
S,29/09/2020,933,All,2020
S,30/09/2021,1255,All,2021
S,30/09/2022,1250,All,2022
S,07/10/2013,1040,All,2013
S,07/10/2014,994,All,2014
S,07/10/2015,1008,All,2015
S,06/10/2016,1072,All,2016
S,07/10/2017,1016,All,2017
S,07/10/2018,1042,All,2018
S,07/10/2019,1051,All,2019
S,06/10/2020,1196,All,2020
S,07/10/2021,1368,All,2021
S,07/10/2022,1296,All,2022
S,14/10/2013,918,All,2013
S,14/10/2014,1068,All,2014
S,14/10/2015,1028,All,2015
S,13/10/2016,1009,All,2016
