year,mid_year_population,num_week
2020,5466504.207778102,38
2020,5466595.64448321,39
2020,5466695.783439179,40
2020,5466804.860203385,41
2020,5466923.1103332015,42
2020,5467050.769386001,43
2020,5467188.072919159,44
2020,5467335.256490049,45
2020,5467492.555656044,46
2020,5467660.205974519,47
2020,5467838.443002847,48
2020,5468027.502298402,49
2020,5468227.619418558,50
2020,5468439.029920689,51
2020,5468661.969362169,52
2020,5468896.673300371,53
2021,5469143.377292669,1
2021,5469402.316896438,2
2021,5469673.727669051,3
2021,5469957.845167882,4
2021,5470254.904950305,5
2021,5470565.142573694,6
2021,5470888.793595421,7
2021,5471226.093572862,8
2021,5471577.278063391,9
2021,5471942.582624381,10
2021,5472322.242813206,11
2021,5472716.4941872405,12
2021,5473125.572303857,13
2021,5473549.7127204295,14
2021,5473989.1509943325,15
2021,5474444.12268294,16
2021,5474914.863343626,17
2021,5475401.608533764,18
2021,5475904.593810728,19
2021,5476424.054731891,20
2021,5476960.226854628,21
2021,5477513.345736312,22
2021,5478083.646934317,23
2021,5478671.366006018,24
2021,5479276.738508788,25
2021,5479900,26
2021,5480541.386037029,27
2021,5481201.132177249,28
2021,5481879.473978033,29
2021,5482576.646996755,30
2021,5483292.88679079,31
2021,5484028.42891751,32
2021,5484783.50893429,33
2021,5485558.362398504,34
2021,5486353.2248675255,35
2021,5487168.331898728,36
2021,5488003.9190494865,37
2021,5488860.2218771735,38
2021,5489737.475939164,39
2021,5490635.916792831,40
2021,5491555.779995549,41
2021,5492497.301104691,42
2021,5493460.715677632,43
2021,5494446.259271745,44
2021,5495454.167444404,45
2021,5496484.6757529825,46
2021,5497538.019754856,47
2021,5498614.435007396,48
2021,5499714.157067978,49
2021,5500837.421493975,50
2021,5501984.463842763,51
2021,5503155.519671712,52
2022,5504350.824538199,1
2022,5505570.613999597,2
2022,5506815.123613278,3
2022,5508084.588936619,4
2022,5509379.245526993,5
2022,5510699.328941772,6
2022,5512045.074738331,7
2022,5513416.718474045,8
2022,5514814.495706286,9
2022,5516238.641992429,10
2022,5517689.392889848,11
2022,5519166.983955916,12
2022,5520671.650748007,13
2022,5522203.6288234955,14
2022,5523763.153739754,15
2022,5525350.461054158,16
2022,5526965.786324081,17
2022,5528609.3651068965,18
2022,5530281.432959978,19
2022,5531982.2254407,20
2022,5533711.978106435,21
2022,5535470.926514559,22
2022,5537259.306222445,23
2022,5539077.352787467,24
2022,5540925.301766997,25
2022,5542803.388718411,26
2022,5544711.849199083,27
2022,5546650.918766386,28
2022,5548620.8329776935,29
2022,5550621.827390379,30
2022,5552654.137561819,31
2022,5554717.999049384,32
2022,5556813.6474104505,33
2022,5558941.31820239,34
2022,5561101.246982578,35
2022,5563293.669308389,36
2022,5565518.820737194,37
2022,5567776.936826371,38
2022,5570068.2531332895,39
2022,5572393.005215326,40
2022,5574751.428629854,41
2022,5577143.758934246,42
2022,5579570.231685879,43
2022,5582031.082442123,44
2022,5584526.546760354,45
2022,5587056.860197946,46
2022,5589622.258312272,47
2022,5592222.976660707,48
2022,5594859.250800624,49
2022,5597531.316289396,50
2022,5600239.408684398,51
2022,5602983.763543003,52
