year,num_week,true_death,fit_death,lower,upper,excess_death
2016,47,1132,1104.4679161881727,890.999,1358.0060000000012,27.532083811827306
2016,48,1159,1202.6796166537874,941.9979999999999,1462.0010000000002,-43.679616653787434
2016,49,1188,1196.8686451589826,961.995,1467.0070000000014,-8.868645158982645
2016,50,1219,1191.084749261515,947.9929999999999,1461.0020000000004,27.91525073848493
2016,51,1284,1185.327796660846,965.9889999999999,1448.0020000000004,98.67220333915407
2016,52,1133,1108.877663487724,879.997,1354.0070000000014,24.12233651227598
2017,1,1205,1323.9440444472143,1063.9950000000001,1599.0010000000002,-118.94404444721431
2017,2,1379,1401.5692764177588,1133.9959999999999,1674.0020000000004,-22.56927641775883
2017,3,1224,1394.7901008345498,1146.999,1652.0030000000006,-170.79010083454978
2017,4,1197,1388.042469946884,1127,1658.0020000000004,-191.042469946884
2017,5,1332,1273.0253499823455,1020.998,1547.0030000000006,58.97465001765454
2017,6,1200,1266.8644765813451,1031,1529.0040000000008,-66.86447658134512
2017,7,1231,1260.732252528448,1033.997,1540.0030000000006,-29.732252528448043
2017,8,1185,1254.62853866187,1008.9979999999999,1516.0010000000002,-69.62853866186992
2017,9,1219,1171.378837393675,939.998,1434.0110000000022,47.621162606325015
2017,10,1146,1165.7055074433615,924.999,1424.0040000000008,-19.705507443361512
2017,11,1141,1160.0585380492553,924.997,1431.0010000000002,-19.058538049255276
2017,12,1152,1154.4378014987708,924.995,1395.0070000000014,-2.4378014987707957
2017,13,1112,1148.8431707798484,922,1401.0080000000016,-36.84317077984838
2017,14,1060,1126.4833125789157,909.995,1377,-66.48331257891573
2017,15,998,1053.8136995240984,844.996,1289.005000000001,-55.81369952409841
2017,16,1111,1048.7035649438965,814.999,1279.0010000000002,62.29643505610352
2017,17,1121,1110.1750716706524,878.9960000000001,1366,10.824928329347586
2017,18,1050,1019.5654997476239,793.998,1256.0040000000008,30.434500252376097
2017,19,1119,1079.3267992388744,863.996,1320.0020000000004,39.6732007611256
2017,20,1115,1074.0885066464862,857.993,1336.0140000000029,40.91149335351383
2017,21,1063,1068.874507179002,853.9970000000001,1315.0010000000002,-5.8745071790019665
2017,22,1015,980.475720596038,770.9979999999999,1222.0070000000014,34.524279403962055
2017,23,1076,1037.9413848762358,826.999,1269,38.058615123764184
2017,24,1031,1032.899522233563,808.9989999999999,1260.0020000000004,-1.8995222335629478
2017,25,1032,1027.8810254748455,817.997,1292.0030000000006,4.118974525154499
2017,26,994,1022.885782392855,822.9979999999999,1266.005000000001,-28.88578239285505
2017,27,1040,1011.9181658376784,789,1235.0030000000006,28.08183416232157
2017,28,1014,1006.9983337675346,809.999,1250.0010000000002,7.001666232465368
2017,29,1025,1002.1014363157267,787.9970000000001,1241.0080000000016,22.898563684273313
2017,30,978,997.2274366620237,792,1237.0030000000006,-19.227436662023706
2017,31,1011,1008.1728143496076,792.993,1235.0110000000022,2.82718565039238
2017,32,1002,1003.2676398984466,790.999,1250.0110000000022,-1.267639898446646
2017,33,1004,998.3856103733181,800.99,1243.0120000000024,5.614389626681941
2017,34,1045,993.5266849901657,779,1238.0020000000004,51.47331500983432
2017,35,980,970.3255437824746,761.996,1218.0060000000012,9.674456217525403
2017,36,1006,1027.184524207338,820.999,1265.0060000000012,-21.184524207337972
