"","WeekEnding","CumulativeDeaths","Deaths","Gender","Year"
"567",2013-11-25,237952.878628096,4786.14192783774,"Female",2013
"568",2013-12-02,242832.958699894,4880.08007179789,"Female",2013
"569",2013-12-09,247846.677242882,5013.71854298818,"Female",2013
"570",2013-12-16,253281.851279015,5435.17403613278,"Female",2013
"571",2013-12-23,257536.853501117,4255.00222210167,"Female",2013
"572",2013-12-31,262715.447978737,5178.59447762003,"Female",2013
"573",2014-01-07,269133.524271857,6418.07629312086,"Female",2014
"574",2014-01-14,275033.078840539,5899.55456868163,"Female",2014
"575",2014-01-21,280515.338208552,5482.25936801272,"Female",2014
"576",2014-01-28,285782.291357324,5266.95314877183,"Female",2014
"577",2014-02-04,291013.400152241,5231.10879491753,"Female",2014
"578",2014-02-11,296191.358762575,5177.95861033362,"Female",2014
"579",2014-02-18,301433.482581716,5242.12381914153,"Female",2014
"580",2014-02-25,306806.562222513,5373.07964079705,"Female",2014
"581",2014-03-04,311989.213134644,5182.65091213083,"Female",2014
"582",2014-03-11,317105.981740367,5116.76860572328,"Female",2014
"583",2014-03-18,322222.75786307,5116.77612270205,"Female",2014
"584",2014-03-25,327124.88768199,4902.12981892034,"Female",2014
"585",2014-04-01,332083.096656784,4958.20897479454,"Female",2014
"586",2014-04-08,337068.542017403,4985.44536061876,"Female",2014
"587",2014-04-15,341356.222154069,4287.68013666617,"Female",2014
"588",2014-04-22,345641.158287602,4284.93613353278,"Female",2014
"589",2014-04-29,350986.958106601,5345.79981899861,"Female",2014
"590",2014-05-06,355747.114242263,4760.15613566234,"Female",2014
"591",2014-05-13,360267.060143006,4519.94590074272,"Female",2014
"592",2014-05-20,365231.40903411,4964.3488911044,"Female",2014
"593",2014-05-27,369473.991767201,4242.58273309044,"Female",2014
"594",2014-06-03,373912.930019536,4438.93825233571,"Female",2014
"595",2014-06-10,378723.18902929,4810.25900975335,"Female",2014
"596",2014-06-17,383241.955262722,4518.76623343216,"Female",2014
"597",2014-06-24,387751.345604954,4509.39034223213,"Female",2014
"598",2014-07-01,392213.05881892,4461.71321396582,"Female",2014
"599",2014-07-08,396587.025533361,4373.96671444102,"Female",2014
"600",2014-07-15,401108.290942681,4521.26540931978,"Female",2014
"601",2014-07-22,405741.035185713,4632.74424303189,"Female",2014
"602",2014-07-29,410296.235952953,4555.20076724066,"Female",2014
"603",2014-08-05,414848.942285274,4552.70633232041,"Female",2014
"604",2014-08-12,419268.895780588,4419.95349531452,"Female",2014
"605",2014-08-19,423763.23844077,4494.34266018239,"Female",2014
"606",2014-08-26,427959.564450499,4196.32600972854,"Female",2014
"607",2014-09-02,432589.836118749,4630.27166825038,"Female",2014
"608",2014-09-09,437437.158129897,4847.32201114763,"Female",2014
"609",2014-09-16,442051.026988485,4613.8688585877,"Female",2014
"610",2014-09-23,446663.780563394,4612.75357490976,"Female",2014
"611",2014-09-30,451345.742886217,4681.96232282289,"Female",2014
"612",2014-10-07,456053.819320308,4708.07643409021,"Female",2014
"613",2014-10-14,460772.008987071,4718.18966676365,"Female",2014
"614",2014-10-21,465646.007705168,4873.99871809717,"Female",2014
"615",2014-10-28,470578.100133946,4932.09242877777,"Female",2014
"616",2014-11-04,475503.084470417,4924.98433647107,"Female",2014
"617",2014-11-11,480627.661109749,5124.57663933217,"Female",2014
"618",2014-11-18,485586.081586212,4958.42047646258,"Female",2014
"619",2014-11-25,490489.330329659,4903.24874344724,"Female",2014
"620",2014-12-02,495702.008173868,5212.67784420913,"Female",2014
"621",2014-12-09,500949.788578366,5247.78040449752,"Female",2014
"622",2014-12-16,507038.889990802,6089.10141243634,"Female",2014
"623",2014-12-23,511870.249126064,4831.35913526162,"Female",2014
"624",2014-12-31,518068.800368774,6198.55124270992,"Female",2014
