"","Date","All","Female","Male","Year","WeekNumber","Nation"
"131",2015-07-08,57896239.3442623,29335314.7540984,28560924.5901639,2015,27,"EW"
"132",2015-07-15,57905723.7704918,29339440.1639344,28566283.6065574,2015,28,"EW"
"133",2015-07-22,57915208.1967213,29343565.5737705,28571642.6229508,2015,29,"EW"
"134",2015-07-29,57924692.6229508,29347690.9836066,28577001.6393443,2015,30,"EW"
"135",2015-08-05,57934177.0491803,29351816.3934426,28582360.6557377,2015,31,"EW"
"136",2015-08-12,57943661.4754098,29355941.8032787,28587719.6721311,2015,32,"EW"
"137",2015-08-19,57953145.9016393,29360067.2131148,28593078.6885246,2015,33,"EW"
"138",2015-08-26,57962630.3278688,29364192.6229508,28598437.704918,2015,34,"EW"
"139",2015-09-02,57972114.7540984,29368318.0327869,28603796.7213115,2015,35,"EW"
"140",2015-09-09,57981599.1803279,29372443.442623,28609155.7377049,2015,36,"EW"
"141",2015-09-16,57991083.6065574,29376568.852459,28614514.7540984,2015,37,"EW"
"142",2015-09-23,58000568.0327869,29380694.2622951,28619873.7704918,2015,38,"EW"
"143",2015-09-30,58010052.4590164,29384819.6721311,28625232.7868852,2015,39,"EW"
"144",2015-10-07,58019536.8852459,29388945.0819672,28630591.8032787,2015,40,"EW"
"145",2015-10-14,58029021.3114754,29393070.4918033,28635950.8196721,2015,41,"EW"
"146",2015-10-21,58038505.7377049,29397195.9016393,28641309.8360656,2015,42,"EW"
"147",2015-10-28,58047990.1639344,29401321.3114754,28646668.852459,2015,43,"EW"
"148",2015-11-04,58057474.5901639,29405446.7213115,28652027.8688525,2015,44,"EW"
"149",2015-11-11,58066959.0163934,29409572.1311475,28657386.8852459,2015,45,"EW"
"150",2015-11-18,58076443.442623,29413697.5409836,28662745.9016393,2015,46,"EW"
"151",2015-11-25,58085927.8688525,29417822.9508197,28668104.9180328,2015,47,"EW"
"152",2015-12-02,58095412.295082,29421948.3606557,28673463.9344262,2015,48,"EW"
"153",2015-12-09,58104896.7213115,29426073.7704918,28678822.9508197,2015,49,"EW"
"154",2015-12-16,58114381.147541,29430199.1803279,28684181.9672131,2015,50,"EW"
"155",2015-12-23,58123865.5737705,29434324.5901639,28689540.9836066,2015,51,"EW"
"156",2015-12-31,58134704.9180328,29439039.3442623,28695665.5737705,2015,52,"EW"
"157",2016-01-07,58144189.3442623,29443164.7540984,28701024.5901639,2016,1,"EW"
"158",2016-01-14,58153673.7704918,29447290.1639344,28706383.6065574,2016,2,"EW"
"159",2016-01-21,58163158.1967213,29451415.5737705,28711742.6229508,2016,3,"EW"
"160",2016-01-28,58172642.6229508,29455540.9836066,28717101.6393443,2016,4,"EW"
"161",2016-02-04,58182127.0491803,29459666.3934426,28722460.6557377,2016,5,"EW"
"162",2016-02-11,58191611.4754098,29463791.8032787,28727819.6721311,2016,6,"EW"
"163",2016-02-18,58201095.9016393,29467917.2131148,28733178.6885246,2016,7,"EW"
"164",2016-02-25,58210580.3278688,29472042.6229508,28738537.704918,2016,8,"EW"
"165",2016-03-03,58220064.7540984,29476168.0327869,28743896.7213115,2016,9,"EW"
"166",2016-03-10,58229549.1803279,29480293.442623,28749255.7377049,2016,10,"EW"
"167",2016-03-17,58239033.6065574,29484418.852459,28754614.7540984,2016,11,"EW"
