"","WeekEnding","Deaths","Gender","WeekNumber","Year"
"106",2015-01-14,380.014624181826,"All",2,2015
"107",2015-01-21,395.366881513633,"All",3,2015
"108",2015-01-28,383.150502824868,"All",4,2015
"109",2015-02-04,353.138978907005,"All",5,2015
"110",2015-02-11,335.40145326723,"All",6,2015
"111",2015-02-18,308.92867741183,"All",7,2015
"112",2015-02-25,384.548560117521,"All",8,2015
"113",2015-03-04,366.072417395051,"All",9,2015
"114",2015-03-11,326.287134733771,"All",10,2015
"115",2015-03-18,308.566215681509,"All",11,2015
"116",2015-03-25,331.418848021254,"All",12,2015
"117",2015-04-01,239.076176490023,"All",13,2015
"118",2015-04-08,263.121927068212,"All",14,2015
"119",2015-04-15,327.121246432485,"All",15,2015
"120",2015-04-22,314.751687784934,"All",16,2015
"121",2015-04-29,338.612527209109,"All",17,2015
"122",2015-05-06,273.212197547742,"All",18,2015
"123",2015-05-13,282.142181142182,"All",19,2015
"124",2015-05-20,302.399835901015,"All",20,2015
"125",2015-05-27,254.092294495764,"All",21,2015
"126",2015-06-03,325.096875328753,"All",22,2015
"127",2015-06-10,292.942944713992,"All",23,2015
"128",2015-06-17,280.274202958157,"All",24,2015
"129",2015-06-24,302.447123919854,"All",25,2015
"130",2015-07-01,303.768205152497,"All",26,2015
"131",2015-07-08,270.89696509116,"All",27,2015
"132",2015-07-15,205.151223112611,"All",28,2015
"133",2015-07-22,250.626422341767,"All",29,2015
"134",2015-07-29,295.716265362869,"All",30,2015
"135",2015-08-05,260.216971017253,"All",31,2015
"136",2015-08-12,234.663663979212,"All",32,2015
"137",2015-08-19,244.682308925949,"All",33,2015
"138",2015-08-26,262.939461833019,"All",34,2015
"139",2015-09-02,232.726024499992,"All",35,2015
"140",2015-09-09,304.894049496463,"All",36,2015
"141",2015-09-16,298.449964103085,"All",37,2015
"142",2015-09-23,283.005802546002,"All",38,2015
"143",2015-09-30,282.439362156052,"All",39,2015
"144",2015-10-07,297.43791501056,"All",40,2015
"145",2015-10-14,304.884779550965,"All",41,2015
"146",2015-10-21,277.676028010079,"All",42,2015
"147",2015-10-28,286.472332898527,"All",43,2015
"148",2015-11-04,291.291783252949,"All",44,2015
"149",2015-11-11,294.602516596962,"All",45,2015
"150",2015-11-18,296.863748026844,"All",46,2015
"151",2015-11-25,282.478934444334,"All",47,2015
"152",2015-12-02,283.587861134612,"All",48,2015
"153",2015-12-09,334.54571431168,"All",49,2015
"154",2015-12-16,319.859019227995,"All",50,2015
"155",2015-12-23,252.05610965097,"All",51,2015
"156",2015-12-31,245.781092223144,"All",53,2015
"157",2016-01-07,408.887293714077,"All",1,2016
"158",2016-01-14,360.133912065634,"All",2,2016
"159",2016-01-21,365.912334991299,"All",3,2016
"160",2016-01-28,362.117622604739,"All",4,2016
"161",2016-02-04,314.955367009585,"All",5,2016
"162",2016-02-11,320.434087199494,"All",6,2016
"163",2016-02-18,210.798080110806,"All",7,2016
"164",2016-02-25,405.490210433083,"All",8,2016
"165",2016-03-03,317.211923637893,"All",9,2016
"166",2016-03-10,304.003202887077,"All",10,2016
"167",2016-03-17,294.107626329846,"All",11,2016
"168",2016-03-24,305.577953601118,"All",12,2016
"169",2016-03-31,282.481433901245,"All",13,2016
"170",2016-04-07,292.484648986312,"All",14,2016
"171",2016-04-14,293.50708385613,"All",15,2016
"172",2016-04-21,290.524916463808,"All",16,2016
"173",2016-04-28,308.474882941708,"All",17,2016
"174",2016-05-05,258.167388504058,"All",18,2016
"175",2016-05-12,314.351189864203,"All",19,2016
"176",2016-05-19,266.372458453137,"All",20,2016
"177",2016-05-26,274.762474865507,"All",21,2016
"178",2016-06-02,286.105338877845,"All",22,2016
"179",2016-06-09,273.151446591044,"All",23,2016
"180",2016-06-16,299.116863096184,"All",24,2016
"181",2016-06-23,255.308214726843,"All",25,2016
"182",2016-06-30,284.405380037249,"All",26,2016
"183",2016-07-07,292.181052296175,"All",27,2016
"184",2016-07-14,239.319390369885,"All",28,2016
"185",2016-07-21,272.978704008536,"All",29,2016
"186",2016-07-28,300.319729456016,"All",30,2016
"187",2016-08-04,266.97561431901,"All",31,2016
"188",2016-08-11,269.961486737353,"All",32,2016
"189",2016-08-18,258.07639791524,"All",33,2016
"190",2016-08-25,297.744583409258,"All",34,2016
"191",2016-09-01,268.945268447736,"All",35,2016
"192",2016-09-08,270.707578951413,"All",36,2016
"193",2016-09-15,293.970771431734,"All",37,2016
"194",2016-09-22,275.327702668605,"All",38,2016
"195",2016-09-29,271.199467456529,"All",39,2016
"196",2016-10-06,306.268013511115,"All",40,2016
"197",2016-10-13,290.154134475677,"All",41,2016
"198",2016-10-20,295.106702230492,"All",42,2016
"199",2016-10-27,274.605645523639,"All",43,2016
"200",2016-11-03,275.730190893621,"All",44,2016
"201",2016-11-10,285.307410143861,"All",45,2016
"202",2016-11-17,335.850664157748,"All",46,2016
"203",2016-11-24,334.012965295122,"All",47,2016
"204",2016-12-01,303.383188947475,"All",48,2016
"205",2016-12-08,321.037369293983,"All",49,2016
"206",2016-12-15,316.977537958235,"All",50,2016
"207",2016-12-22,370.813411817682,"All",51,2016
"208",2016-12-30,239.418223135566,"All",53,2016
"209",2017-01-07,480.599603821291,"All",1,2017
"210",2017-01-14,426.577416136963,"All",2,2017
"211",2017-01-21,394.471564609019,"All",3,2017
"212",2017-01-28,385.95031959605,"All",4,2017
"213",2017-02-04,366.179052050531,"All",5,2017
"214",2017-02-11,333.473413892789,"All",6,2017
"215",2017-02-18,339.492890045949,"All",7,2017
"216",2017-02-25,350.703713970055,"All",8,2017
"217",2017-03-04,356.374469817267,"All",9,2017
"218",2017-03-11,342.279456323558,"All",10,2017
"219",2017-03-18,256.364847745637,"All",11,2017
"220",2017-03-25,360.707216833835,"All",12,2017
"221",2017-04-01,308.333981712029,"All",13,2017
"222",2017-04-08,304.429159525062,"All",14,2017
"223",2017-04-15,261.491654240221,"All",15,2017
"224",2017-04-22,255.414719140841,"All",16,2017
"225",2017-04-29,324.076874444218,"All",17,2017
"226",2017-05-06,256.373992994864,"All",18,2017
"227",2017-05-13,307.211410136064,"All",19,2017
"228",2017-05-20,318.401357714538,"All",20,2017
"229",2017-05-27,320.078202737568,"All",21,2017
"230",2017-06-03,254.361633084467,"All",22,2017
"231",2017-06-10,298.743486498875,"All",23,2017
"232",2017-06-17,295.67608272763,"All",24,2017
"233",2017-06-24,275.625068887981,"All",25,2017
"234",2017-07-01,294.744924519255,"All",26,2017
"235",2017-07-08,257.059956067082,"All",27,2017
"236",2017-07-15,257.172685614743,"All",28,2017
"237",2017-07-22,289.852800016248,"All",29,2017
"238",2017-07-29,287.891332979139,"All",30,2017
"239",2017-08-05,281.068748533653,"All",31,2017
"240",2017-08-12,237.201019825035,"All",32,2017
"241",2017-08-19,270.549912691014,"All",33,2017
"242",2017-08-26,266.304868769483,"All",34,2017
"243",2017-09-02,245.63294459258,"All",35,2017
"244",2017-09-09,278.699796008863,"All",36,2017
"245",2017-09-16,267.7952766198,"All",37,2017
"246",2017-09-23,292.22988468394,"All",38,2017
"247",2017-09-30,284.145242953498,"All",39,2017
"248",2017-10-07,306.5185895662,"All",40,2017
"249",2017-10-14,281.926171376428,"All",41,2017
"250",2017-10-21,294.727162245894,"All",42,2017
"251",2017-10-28,320.829902672063,"All",43,2017
"252",2017-11-04,315.845355345722,"All",44,2017
"253",2017-11-11,297.511708015038,"All",45,2017
"254",2017-11-18,321.343964197644,"All",46,2017
"255",2017-11-25,307.952085340163,"All",47,2017
"256",2017-12-02,354.518248377572,"All",48,2017
"257",2017-12-09,325.365591703448,"All",49,2017
"258",2017-12-16,378.71909326344,"All",50,2017
"259",2017-12-23,334.513137283648,"All",51,2017
"260",2017-12-31,320.533467142741,"All",53,2017
"261",2018-01-07,478.338835185219,"All",1,2018
"262",2018-01-14,478.738608882719,"All",2,2018
"263",2018-01-21,456.680490216837,"All",3,2018
"264",2018-01-28,428.250800512309,"All",4,2018
"265",2018-02-04,412.7944418447,"All",5,2018
"266",2018-02-11,344.201169718217,"All",6,2018
"267",2018-02-18,372.686593568142,"All",7,2018
"268",2018-02-25,347.21280586347,"All",8,2018
"269",2018-03-04,328.55547743864,"All",9,2018
"270",2018-03-11,390.906392253703,"All",10,2018
"271",2018-03-18,344.894755295798,"All",11,2018
"272",2018-03-25,325.727414551409,"All",12,2018
"273",2018-04-01,305.04106754814,"All",13,2018
"274",2018-04-08,302.291988725439,"All",14,2018
"275",2018-04-15,340.149578133205,"All",15,2018
"276",2018-04-22,269.590748304399,"All",16,2018
"277",2018-04-29,291.318332439274,"All",17,2018
"278",2018-05-06,273.482860714037,"All",18,2018
"279",2018-05-13,232.97762995238,"All",19,2018
"280",2018-05-20,274.941896444376,"All",20,2018
"281",2018-05-27,261.033209926114,"All",21,2018
"282",2018-06-03,256.59873323889,"All",22,2018
"283",2018-06-10,279.755530587718,"All",23,2018
"284",2018-06-17,273.408298929193,"All",24,2018
"285",2018-06-24,263.722060867512,"All",25,2018
"286",2018-07-01,278.269055268407,"All",26,2018
"287",2018-07-08,232.513671411623,"All",27,2018
"288",2018-07-15,195.650020018074,"All",28,2018
"289",2018-07-22,309.384790790107,"All",29,2018
"290",2018-07-29,275.912857637799,"All",30,2018
"291",2018-08-05,276.386519183492,"All",31,2018
"292",2018-08-12,271.858849884826,"All",32,2018
"293",2018-08-19,285.743678944855,"All",33,2018
"294",2018-08-26,271.586259408621,"All",34,2018
"295",2018-09-02,249.724694499397,"All",35,2018
"296",2018-09-09,275.325458220614,"All",36,2018
"297",2018-09-16,274.093006145806,"All",37,2018
"298",2018-09-23,254.098435563545,"All",38,2018
"299",2018-09-30,310.793134981941,"All",39,2018
"300",2018-10-07,325.443310222981,"All",40,2018
"301",2018-10-14,308.786393805436,"All",41,2018
"302",2018-10-21,275.160385692288,"All",42,2018
"303",2018-10-28,256.382559052232,"All",43,2018
"304",2018-11-04,262.580515124995,"All",44,2018
"305",2018-11-11,293.155438756818,"All",45,2018
"306",2018-11-18,270.835630722402,"All",46,2018
"307",2018-11-25,278.542854680112,"All",47,2018
"308",2018-12-02,307.261172131461,"All",48,2018
"309",2018-12-09,321.339570496682,"All",49,2018
"310",2018-12-16,325.121070663154,"All",50,2018
"311",2018-12-23,276.301511282174,"All",51,2018
"312",2018-12-31,275.615400412396,"All",53,2018
"313",2019-01-07,392.498043437314,"All",1,2019
"314",2019-01-14,347.611493789824,"All",2,2019
"315",2019-01-21,334.545777321749,"All",3,2019
"316",2019-01-28,318.263705961086,"All",4,2019
"317",2019-02-04,299.15741632662,"All",5,2019
"318",2019-02-11,331.817998994855,"All",6,2019
"319",2019-02-18,344.509363204168,"All",7,2019
"320",2019-02-25,322.331137109752,"All",8,2019
"321",2019-03-04,319.276875528798,"All",9,2019
"322",2019-03-11,351.415588180287,"All",10,2019
"323",2019-03-18,319.912083703442,"All",11,2019
"324",2019-03-25,296.487097414109,"All",12,2019
"325",2019-04-01,300.460226348558,"All",13,2019
"326",2019-04-08,286.161793110048,"All",14,2019
"327",2019-04-15,316.18123094886,"All",15,2019
"328",2019-04-22,289.040396797107,"All",16,2019
"329",2019-04-29,309.660097314612,"All",17,2019
"330",2019-05-06,334.838164381799,"All",18,2019
"331",2019-05-13,295.56158918151,"All",19,2019
"332",2019-05-20,334.58894827991,"All",20,2019
"333",2019-05-27,274.34209291749,"All",21,2019
"334",2019-06-03,254.028102790675,"All",22,2019
"335",2019-06-10,282.55424227551,"All",23,2019
"336",2019-06-17,289.950263384249,"All",24,2019
"337",2019-06-24,280.784645878419,"All",25,2019
"338",2019-07-01,270.826604997143,"All",26,2019
"339",2019-07-08,273.515348127185,"All",27,2019
"340",2019-07-15,262.409378587399,"All",28,2019
"341",2019-07-22,278.561423237479,"All",29,2019
"342",2019-07-29,269.522771028278,"All",30,2019
"343",2019-08-05,269.566151541556,"All",31,2019
"344",2019-08-12,272.128074700551,"All",32,2019
"345",2019-08-19,286.667905341354,"All",33,2019
"346",2019-08-26,251.034123175996,"All",34,2019
"347",2019-09-02,219.991520322015,"All",35,2019
"348",2019-09-09,274.982302824603,"All",36,2019
"349",2019-09-16,298.574895201746,"All",37,2019
"350",2019-09-23,285.948437068102,"All",38,2019
"351",2019-09-30,283.100744280935,"All",39,2019
"352",2019-10-07,265.187944408768,"All",40,2019
"353",2019-10-14,306.704329395958,"All",41,2019
"354",2019-10-21,300.30377590828,"All",42,2019
"355",2019-10-28,285.345873093334,"All",43,2019
"356",2019-11-04,300.368125304376,"All",44,2019
"357",2019-11-11,307.962966797058,"All",45,2019
"358",2019-11-18,354.039482726061,"All",46,2019
"359",2019-11-25,349.272688304496,"All",47,2019
"360",2019-12-02,339.202125572017,"All",48,2019
"361",2019-12-09,348.662249640678,"All",49,2019
"362",2019-12-16,375.043919597025,"All",50,2019
"363",2019-12-23,279.678106956679,"All",51,2019
"364",2019-12-31,291.589432810986,"All",53,2019
"365",2020-01-07,392.1544147932,"All",1,2020
"366",2020-01-14,408.014892280335,"All",2,2020
"367",2020-01-21,377.934704132102,"All",3,2020
"368",2020-01-28,325.304600229167,"All",4,2020
"369",2020-02-04,329.788585913353,"All",5,2020
"370",2020-02-11,320.46525436813,"All",6,2020
"371",2020-02-18,291.624449092255,"All",7,2020
"372",2020-02-25,330.526745181254,"All",8,2020
"373",2020-03-03,328.481398171061,"All",9,2020
"374",2020-03-10,319.626379335692,"All",10,2020
"375",2020-03-17,297.72737020046,"All",11,2020
"376",2020-03-24,259.50787164089,"All",12,2020
"377",2020-03-31,374.972921661625,"All",13,2020
"378",2020-04-07,449.670412558087,"All",14,2020
"379",2020-04-14,420.042221108917,"All",15,2020
"380",2020-04-21,452.13737939109,"All",16,2020
"381",2020-04-28,461.003013513313,"All",17,2020
"382",2020-05-05,360.459896001703,"All",18,2020
"383",2020-05-12,371.553903937602,"All",19,2020
"384",2020-05-19,362.481922650259,"All",20,2020
"385",2020-05-26,312.346393799555,"All",21,2020
"386",2020-06-02,311.596059002812,"All",22,2020
"387",2020-06-09,295.890361442871,"All",23,2020
"388",2020-06-16,289.565527295679,"All",24,2020
"389",2020-06-23,292.897092056606,"All",25,2020
"390",2020-06-30,291.353393107653,"All",26,2020
"391",2020-07-07,286.158723267858,"All",27,2020
"392",2020-07-14,245.384891663518,"All",28,2020
"393",2020-07-21,279.494129903149,"All",29,2020
"394",2020-07-28,292.402437120385,"All",30,2020
"395",2020-08-04,273.423818408308,"All",31,2020
"396",2020-08-11,277.371677001487,"All",32,2020
"397",2020-08-18,296.427666005533,"All",33,2020
"398",2020-08-25,319.433693961837,"All",34,2020
"399",2020-09-01,255.000823453229,"All",35,2020
"400",2020-09-08,261.790417473036,"All",36,2020
"401",2020-09-15,318.003687412653,"All",37,2020
"402",2020-09-22,323.839147745166,"All",38,2020
"403",2020-09-29,320.846718691202,"All",39,2020
"404",2020-10-06,351.030537256782,"All",40,2020
"405",2020-10-13,295.990315955147,"All",41,2020
"406",2020-10-20,340.069423412453,"All",42,2020
"407",2020-10-27,388.189716342589,"All",43,2020
"408",2020-11-03,371.259174774008,"All",44,2020
"409",2020-11-10,400.088453366043,"All",45,2020
"410",2020-11-17,407.51820709712,"All",46,2020
"411",2020-11-24,362.101108916031,"All",47,2020
"412",2020-12-01,368.747911174578,"All",48,2020
"413",2020-12-08,380.274593324444,"All",49,2020
"414",2020-12-15,356.363628064108,"All",50,2020
"415",2020-12-22,331.329203457019,"All",51,2020
"416",2020-12-30,340.268967164026,"All",53,2020
"417",2021-01-07,607.883881517817,"All",1,2021
"418",2021-01-14,460.329938496739,"All",2,2021
"419",2021-01-21,468.589750834071,"All",3,2021
"420",2021-01-28,440.372282656783,"All",4,2021
"421",2021-02-04,462.480885302619,"All",5,2021
"422",2021-02-11,394.33391374207,"All",6,2021
"423",2021-02-18,351.93564631803,"All",7,2021
"424",2021-02-25,354.045949965424,"All",8,2021
"425",2021-03-04,319.300378893153,"All",9,2021
"426",2021-03-11,342.837082566897,"All",10,2021
"427",2021-03-18,259.607850606044,"All",11,2021
"428",2021-03-25,297.670290519134,"All",12,2021
"429",2021-04-01,295.976293439846,"All",13,2021
"430",2021-04-08,245.9026698323,"All",14,2021
"431",2021-04-15,281.98445580242,"All",15,2021
"432",2021-04-22,305.066212497331,"All",16,2021
"433",2021-04-29,295.062647561019,"All",17,2021
"434",2021-05-06,268.187570436479,"All",18,2021
"435",2021-05-13,318.656458448153,"All",19,2021
"436",2021-05-20,325.737616179074,"All",20,2021
"437",2021-05-27,268.611735727696,"All",21,2021
"438",2021-06-03,280.675499219156,"All",22,2021
"439",2021-06-10,264.910757191567,"All",23,2021
"440",2021-06-17,304.456982218719,"All",24,2021
"441",2021-06-24,323.972684195935,"All",25,2021
"442",2021-07-01,273.529832017899,"All",26,2021
"443",2021-07-08,300.007113096945,"All",27,2021
"444",2021-07-15,233.803231629281,"All",28,2021
"445",2021-07-22,297.360135313094,"All",29,2021
"446",2021-07-29,293.467597380746,"All",30,2021
"447",2021-08-05,336.699504318414,"All",31,2021
"448",2021-08-12,332.130886803236,"All",32,2021
"449",2021-08-19,344.514557798131,"All",33,2021
"450",2021-08-26,302.326916989696,"All",34,2021
"451",2021-09-02,330.626753834862,"All",35,2021
"452",2021-09-09,373.865776125691,"All",36,2021
"453",2021-09-16,377.513640204677,"All",37,2021
"454",2021-09-23,349.307068303402,"All",38,2021
"455",2021-09-30,379.774121567083,"All",39,2021
"456",2021-10-07,335.660585369973,"All",40,2021
"457",2021-10-14,336.102487390424,"All",41,2021
"458",2021-10-21,316.573779937142,"All",42,2021
"459",2021-10-28,315.605308312865,"All",43,2021
"460",2021-11-04,362.803820630623,"All",44,2021
"461",2021-11-11,403.628388756508,"All",45,2021
"462",2021-11-18,375.414402768947,"All",46,2021
"463",2021-11-25,410.101755269774,"All",47,2021
"464",2021-12-02,383.828721924539,"All",48,2021
"465",2021-12-09,368.113969276921,"All",49,2021
"466",2021-12-16,363.508403883257,"All",50,2021
"467",2021-12-23,353.225593032636,"All",51,2021
"468",2021-12-31,288.599477850861,"All",53,2021
"469",2022-01-07,46.6436702648061,"All",1,2022
"470",2022-01-14,-237.712659470388,"All",2,2022
"471",2022-01-21,-610.068989205552,"All",3,2022
"472",2022-01-28,-1070.42531894078,"All",4,2022
"473",2022-02-04,-1618.78164867594,"All",5,2022
"474",2022-02-11,-2255.13797841116,"All",6,2022
"475",2022-02-18,-2979.49430814633,"All",7,2022
"476",2022-02-25,-3791.85063788154,"All",8,2022
"477",2022-03-04,-4692.20696761672,"All",9,2022
"478",2022-03-11,-5680.5632973519,"All",10,2022
"479",2022-03-18,-6756.91962708712,"All",11,2022
"480",2022-03-25,-7921.27595682228,"All",12,2022
"481",2022-04-01,-9173.63228655748,"All",13,2022
"482",2022-04-08,-10513.9886162927,"All",14,2022
"483",2022-04-15,-11942.3449460279,"All",15,2022
"484",2022-04-22,-13458.701275763,"All",16,2022
"485",2022-04-29,-15063.0576054983,"All",17,2022
"486",2022-05-06,-16755.4139352334,"All",18,2022
"487",2022-05-13,-18535.7702649686,"All",19,2022
"488",2022-05-20,-20404.1265947038,"All",20,2022
"489",2022-05-27,-22360.482924439,"All",21,2022
"490",2022-06-03,-24404.8392541742,"All",22,2022
"491",2022-06-10,-26537.1955839094,"All",23,2022
"492",2022-06-17,-28757.5519136446,"All",24,2022
"493",2022-06-24,-31065.9082433798,"All",25,2022
"494",2022-07-01,-33462.2645731149,"All",26,2022
"495",2022-07-08,-35946.6209028502,"All",27,2022
"496",2022-07-15,-38518.9772325853,"All",28,2022
"497",2022-07-22,-41179.3335623205,"All",29,2022
"498",2022-07-29,-43927.6898920558,"All",30,2022
"499",2022-08-05,-46764.0462217909,"All",31,2022
"500",2022-08-12,-49688.4025515261,"All",32,2022
"501",2022-08-19,-52700.7588812613,"All",33,2022
"502",2022-08-26,-55801.1152109965,"All",34,2022
"503",2022-09-02,-58989.4715407316,"All",35,2022
"504",2022-09-09,-62265.8278704667,"All",36,2022
"505",2022-09-16,-65630.1842002022,"All",37,2022
"506",2022-09-23,-69082.5405299373,"All",38,2022
"507",2022-09-30,-72622.8968596724,"All",39,2022
"508",2022-10-07,-76251.2531894076,"All",40,2022
"509",2022-10-14,-79967.6095191427,"All",41,2022
"510",2022-10-21,-83771.965848878,"All",42,2022
"511",2022-10-28,-87664.3221786132,"All",43,2022
"512",2022-11-04,-91644.6785083485,"All",44,2022
"513",2022-11-11,-95713.0348380837,"All",45,2022
"514",2022-11-18,-99869.3911678186,"All",46,2022
"515",2022-11-25,-104113.747497554,"All",47,2022
"516",2022-12-02,-108446.103827289,"All",48,2022
"517",2022-12-09,-112866.460157024,"All",49,2022
"518",2022-12-16,-117374.81648676,"All",50,2022
"519",2022-12-23,-121971.172816495,"All",51,2022
"520",2022-12-31,-145136.703797536,"All",53,2022
