"","Date","All","WeekNumber","Nation","Year","Female","Male"
"148",2015-11-04,1858794.29234973,44,"NI",2015,0,0
"149",2015-11-11,1859006.56830601,45,"NI",2015,0,0
"150",2015-11-18,1859218.8442623,46,"NI",2015,0,0
"151",2015-11-25,1859431.12021858,47,"NI",2015,0,0
"152",2015-12-02,1859643.39617486,48,"NI",2015,0,0
"153",2015-12-09,1859855.67213115,49,"NI",2015,0,0
"154",2015-12-16,1860067.94808743,50,"NI",2015,0,0
"155",2015-12-23,1860280.22404372,51,"NI",2015,0,0
"156",2015-12-31,1860522.82513661,52,"NI",2015,0,0
"157",2016-01-07,1860735.1010929,1,"NI",2016,0,0
"158",2016-01-14,1860947.37704918,2,"NI",2016,0,0
"159",2016-01-21,1861159.65300546,3,"NI",2016,0,0
"160",2016-01-28,1861371.92896175,4,"NI",2016,0,0
"161",2016-02-04,1861584.20491803,5,"NI",2016,0,0
"162",2016-02-11,1861796.48087432,6,"NI",2016,0,0
"163",2016-02-18,1862008.7568306,7,"NI",2016,0,0
"164",2016-02-25,1862221.03278689,8,"NI",2016,0,0
"165",2016-03-03,1862433.30874317,9,"NI",2016,0,0
"166",2016-03-10,1862645.58469945,10,"NI",2016,0,0
"167",2016-03-17,1862857.86065574,11,"NI",2016,0,0
"168",2016-03-24,1863070.13661202,12,"NI",2016,0,0
"169",2016-03-31,1863282.41256831,13,"NI",2016,0,0
"170",2016-04-07,1863494.68852459,14,"NI",2016,0,0
"171",2016-04-14,1863706.96448087,15,"NI",2016,0,0
"172",2016-04-21,1863919.24043716,16,"NI",2016,0,0
"173",2016-04-28,1864131.51639344,17,"NI",2016,0,0
"174",2016-05-05,1864343.79234973,18,"NI",2016,0,0
"175",2016-05-12,1864556.06830601,19,"NI",2016,0,0
"176",2016-05-19,1864768.3442623,20,"NI",2016,0,0
"177",2016-05-26,1864980.62021858,21,"NI",2016,0,0
"178",2016-06-02,1865192.89617486,22,"NI",2016,0,0
"179",2016-06-09,1865405.17213115,23,"NI",2016,0,0
"180",2016-06-16,1865617.44808743,24,"NI",2016,0,0
"181",2016-06-23,1865829.72404372,25,"NI",2016,0,0
"182",2016-06-30,1866042,26,"NI",2016,0,0
"183",2016-07-07,1866217.2109589,27,"NI",2016,0,0
"184",2016-07-14,1866392.42191781,28,"NI",2016,0,0
"185",2016-07-21,1866567.63287671,29,"NI",2016,0,0
"186",2016-07-28,1866742.84383562,30,"NI",2016,0,0
"187",2016-08-04,1866918.05479452,31,"NI",2016,0,0
"188",2016-08-11,1867093.26575342,32,"NI",2016,0,0
"189",2016-08-18,1867268.47671233,33,"NI",2016,0,0
"190",2016-08-25,1867443.68767123,34,"NI",2016,0,0
"191",2016-09-01,1867618.89863014,35,"NI",2016,0,0
"192",2016-09-08,1867794.10958904,36,"NI",2016,0,0
"193",2016-09-15,1867969.32054795,37,"NI",2016,0,0
"194",2016-09-22,1868144.53150685,38,"NI",2016,0,0
"195",2016-09-29,1868319.74246575,39,"NI",2016,0,0
"196",2016-10-06,1868494.95342466,40,"NI",2016,0,0
"197",2016-10-13,1868670.16438356,41,"NI",2016,0,0
"198",2016-10-20,1868845.37534247,42,"NI",2016,0,0
"199",2016-10-27,1869020.58630137,43,"NI",2016,0,0
"200",2016-11-03,1869195.79726027,44,"NI",2016,0,0
"201",2016-11-10,1869371.00821918,45,"NI",2016,0,0
"202",2016-11-17,1869546.21917808,46,"NI",2016,0,0
"203",2016-11-24,1869721.43013699,47,"NI",2016,0,0
"204",2016-12-01,1869896.64109589,48,"NI",2016,0,0
"205",2016-12-08,1870071.85205479,49,"NI",2016,0,0
"206",2016-12-15,1870247.0630137,50,"NI",2016,0,0
"207",2016-12-22,1870422.2739726,51,"NI",2016,0,0
"208",2016-12-30,1870622.51506849,52,"NI",2016,0,0
"209",2017-01-07,1870822.75616438,1,"NI",2017,0,0
"210",2017-01-14,1870997.96712329,2,"NI",2017,0,0
"211",2017-01-21,1871173.17808219,3,"NI",2017,0,0
"212",2017-01-28,1871348.3890411,4,"NI",2017,0,0
"213",2017-02-04,1871523.6,5,"NI",2017,0,0
"214",2017-02-11,1871698.8109589,6,"NI",2017,0,0
"215",2017-02-18,1871874.02191781,7,"NI",2017,0,0
"216",2017-02-25,1872049.23287671,8,"NI",2017,0,0
"217",2017-03-04,1872224.44383562,9,"NI",2017,0,0
"218",2017-03-11,1872399.65479452,10,"NI",2017,0,0
"219",2017-03-18,1872574.86575342,11,"NI",2017,0,0
"220",2017-03-25,1872750.07671233,12,"NI",2017,0,0
"221",2017-04-01,1872925.28767123,13,"NI",2017,0,0
"222",2017-04-08,1873100.49863014,14,"NI",2017,0,0
"223",2017-04-15,1873275.70958904,15,"NI",2017,0,0
"224",2017-04-22,1873450.92054795,16,"NI",2017,0,0
"225",2017-04-29,1873626.13150685,17,"NI",2017,0,0
"226",2017-05-06,1873801.34246575,18,"NI",2017,0,0
"227",2017-05-13,1873976.55342466,19,"NI",2017,0,0
"228",2017-05-20,1874151.76438356,20,"NI",2017,0,0
"229",2017-05-27,1874326.97534247,21,"NI",2017,0,0
"230",2017-06-03,1874502.18630137,22,"NI",2017,0,0
"231",2017-06-10,1874677.39726027,23,"NI",2017,0,0
"232",2017-06-17,1874852.60821918,24,"NI",2017,0,0
"233",2017-06-24,1875027.81917808,25,"NI",2017,0,0
"234",2017-07-01,1875208.35890411,26,"NI",2017,0,0
"235",2017-07-08,1875420.87123288,27,"NI",2017,0,0
"236",2017-07-15,1875633.38356164,28,"NI",2017,0,0
"237",2017-07-22,1875845.89589041,29,"NI",2017,0,0
"238",2017-07-29,1876058.40821918,30,"NI",2017,0,0
"239",2017-08-05,1876270.92054795,31,"NI",2017,0,0
"240",2017-08-12,1876483.43287671,32,"NI",2017,0,0
"241",2017-08-19,1876695.94520548,33,"NI",2017,0,0
"242",2017-08-26,1876908.45753425,34,"NI",2017,0,0
"243",2017-09-02,1877120.96986301,35,"NI",2017,0,0
"244",2017-09-09,1877333.48219178,36,"NI",2017,0,0
"245",2017-09-16,1877545.99452055,37,"NI",2017,0,0
"246",2017-09-23,1877758.50684932,38,"NI",2017,0,0
"247",2017-09-30,1877971.01917808,39,"NI",2017,0,0
"248",2017-10-07,1878183.53150685,40,"NI",2017,0,0
"249",2017-10-14,1878396.04383562,41,"NI",2017,0,0
"250",2017-10-21,1878608.55616438,42,"NI",2017,0,0
"251",2017-10-28,1878821.06849315,43,"NI",2017,0,0
"252",2017-11-04,1879033.58082192,44,"NI",2017,0,0
"253",2017-11-11,1879246.09315068,45,"NI",2017,0,0
"254",2017-11-18,1879458.60547945,46,"NI",2017,0,0
"255",2017-11-25,1879671.11780822,47,"NI",2017,0,0
"256",2017-12-02,1879883.63013699,48,"NI",2017,0,0
"257",2017-12-09,1880096.14246575,49,"NI",2017,0,0
"258",2017-12-16,1880308.65479452,50,"NI",2017,0,0
"259",2017-12-23,1880521.16712329,51,"NI",2017,0,0
"260",2017-12-31,1880764.03835616,52,"NI",2017,0,0
"261",2018-01-07,1880976.55068493,1,"NI",2018,0,0
"262",2018-01-14,1881189.0630137,2,"NI",2018,0,0
"263",2018-01-21,1881401.57534247,3,"NI",2018,0,0
"264",2018-01-28,1881614.08767123,4,"NI",2018,0,0
"265",2018-02-04,1881826.6,5,"NI",2018,0,0
"266",2018-02-11,1882039.11232877,6,"NI",2018,0,0
"267",2018-02-18,1882251.62465753,7,"NI",2018,0,0
"268",2018-02-25,1882464.1369863,8,"NI",2018,0,0
"269",2018-03-04,1882676.64931507,9,"NI",2018,0,0
"270",2018-03-11,1882889.16164384,10,"NI",2018,0,0
"271",2018-03-18,1883101.6739726,11,"NI",2018,0,0
"272",2018-03-25,1883314.18630137,12,"NI",2018,0,0
"273",2018-04-01,1883526.69863014,13,"NI",2018,0,0
"274",2018-04-08,1883739.2109589,14,"NI",2018,0,0
"275",2018-04-15,1883951.72328767,15,"NI",2018,0,0
"276",2018-04-22,1884164.23561644,16,"NI",2018,0,0
"277",2018-04-29,1884376.74794521,17,"NI",2018,0,0
"278",2018-05-06,1884589.26027397,18,"NI",2018,0,0
"279",2018-05-13,1884801.77260274,19,"NI",2018,0,0
"280",2018-05-20,1885014.28493151,20,"NI",2018,0,0
"281",2018-05-27,1885226.79726027,21,"NI",2018,0,0
"282",2018-06-03,1885439.30958904,22,"NI",2018,0,0
"283",2018-06-10,1885651.82191781,23,"NI",2018,0,0
"284",2018-06-17,1885864.33424658,24,"NI",2018,0,0
"285",2018-06-24,1886076.84657534,25,"NI",2018,0,0
"286",2018-07-01,1886292.5890411,26,"NI",2018,0,0
"287",2018-07-08,1886527.71232877,27,"NI",2018,0,0
"288",2018-07-15,1886762.83561644,28,"NI",2018,0,0
"289",2018-07-22,1886997.95890411,29,"NI",2018,0,0
"290",2018-07-29,1887233.08219178,30,"NI",2018,0,0
"291",2018-08-05,1887468.20547945,31,"NI",2018,0,0
"292",2018-08-12,1887703.32876712,32,"NI",2018,0,0
"293",2018-08-19,1887938.45205479,33,"NI",2018,0,0
"294",2018-08-26,1888173.57534247,34,"NI",2018,0,0
"295",2018-09-02,1888408.69863014,35,"NI",2018,0,0
"296",2018-09-09,1888643.82191781,36,"NI",2018,0,0
"297",2018-09-16,1888878.94520548,37,"NI",2018,0,0
"298",2018-09-23,1889114.06849315,38,"NI",2018,0,0
"299",2018-09-30,1889349.19178082,39,"NI",2018,0,0
"300",2018-10-07,1889584.31506849,40,"NI",2018,0,0
"301",2018-10-14,1889819.43835616,41,"NI",2018,0,0
"302",2018-10-21,1890054.56164384,42,"NI",2018,0,0
"303",2018-10-28,1890289.68493151,43,"NI",2018,0,0
"304",2018-11-04,1890524.80821918,44,"NI",2018,0,0
"305",2018-11-11,1890759.93150685,45,"NI",2018,0,0
"306",2018-11-18,1890995.05479452,46,"NI",2018,0,0
"307",2018-11-25,1891230.17808219,47,"NI",2018,0,0
"308",2018-12-02,1891465.30136986,48,"NI",2018,0,0
"309",2018-12-09,1891700.42465753,49,"NI",2018,0,0
"310",2018-12-16,1891935.54794521,50,"NI",2018,0,0
"311",2018-12-23,1892170.67123288,51,"NI",2018,0,0
"312",2018-12-31,1892439.38356164,52,"NI",2018,0,0
"313",2019-01-07,1892674.50684932,1,"NI",2019,0,0
"314",2019-01-14,1892909.63013699,2,"NI",2019,0,0
"315",2019-01-21,1893144.75342466,3,"NI",2019,0,0
"316",2019-01-28,1893379.87671233,4,"NI",2019,0,0
"317",2019-02-04,1893615,5,"NI",2019,0,0
"318",2019-02-11,1893850.12328767,6,"NI",2019,0,0
"319",2019-02-18,1894085.24657534,7,"NI",2019,0,0
"320",2019-02-25,1894320.36986301,8,"NI",2019,0,0
"321",2019-03-04,1894555.49315068,9,"NI",2019,0,0
"322",2019-03-11,1894790.61643836,10,"NI",2019,0,0
"323",2019-03-18,1895025.73972603,11,"NI",2019,0,0
"324",2019-03-25,1895260.8630137,12,"NI",2019,0,0
"325",2019-04-01,1895495.98630137,13,"NI",2019,0,0
"326",2019-04-08,1895731.10958904,14,"NI",2019,0,0
"327",2019-04-15,1895966.23287671,15,"NI",2019,0,0
"328",2019-04-22,1896201.35616438,16,"NI",2019,0,0
"329",2019-04-29,1896436.47945205,17,"NI",2019,0,0
"330",2019-05-06,1896671.60273973,18,"NI",2019,0,0
"331",2019-05-13,1896906.7260274,19,"NI",2019,0,0
"332",2019-05-20,1897141.84931507,20,"NI",2019,0,0
"333",2019-05-27,1897376.97260274,21,"NI",2019,0,0
"334",2019-06-03,1897612.09589041,22,"NI",2019,0,0
"335",2019-06-10,1897847.21917808,23,"NI",2019,0,0
"336",2019-06-17,1898082.34246575,24,"NI",2019,0,0
"337",2019-06-24,1898317.46575342,25,"NI",2019,0,0
"338",2019-07-01,1898524.47540984,26,"NI",2019,0,0
"339",2019-07-08,1898562.80327869,27,"NI",2019,0,0
"340",2019-07-15,1898601.13114754,28,"NI",2019,0,0
"341",2019-07-22,1898639.45901639,29,"NI",2019,0,0
"342",2019-07-29,1898677.78688525,30,"NI",2019,0,0
"343",2019-08-05,1898716.1147541,31,"NI",2019,0,0
"344",2019-08-12,1898754.44262295,32,"NI",2019,0,0
"345",2019-08-19,1898792.7704918,33,"NI",2019,0,0
"346",2019-08-26,1898831.09836066,34,"NI",2019,0,0
"347",2019-09-02,1898869.42622951,35,"NI",2019,0,0
"348",2019-09-09,1898907.75409836,36,"NI",2019,0,0
"349",2019-09-16,1898946.08196721,37,"NI",2019,0,0
"350",2019-09-23,1898984.40983607,38,"NI",2019,0,0
"351",2019-09-30,1899022.73770492,39,"NI",2019,0,0
"352",2019-10-07,1899061.06557377,40,"NI",2019,0,0
"353",2019-10-14,1899099.39344262,41,"NI",2019,0,0
"354",2019-10-21,1899137.72131148,42,"NI",2019,0,0
"355",2019-10-28,1899176.04918033,43,"NI",2019,0,0
